Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 533,current eyeGaze_left: Position (-0.00220795, 1.07926, -0.05267961), Orientation(0.08727036, 0.01557036, -0.002240138, 0.9960605), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 548,current eyeGaze_left: Position (-0.00220795, 1.07926, -0.05267961), Orientation(0.08727036, 0.01557036, -0.002240138, 0.9960605), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 562,current eyeGaze_left: Position (-0.002211645, 1.078932, -0.05327663), Orientation(0.08530239, 0.01301552, -0.003354291, 0.9962645), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 575,current eyeGaze_left: Position (-0.002211645, 1.078932, -0.05327663), Orientation(0.08530239, 0.01301552, -0.003354291, 0.9962645), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 589,current eyeGaze_left: Position (-0.002180323, 1.078674, -0.05367459), Orientation(0.06733302, 0.01025613, -0.003539454, 0.9976715), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 602,current eyeGaze_left: Position (-0.002180323, 1.078674, -0.05367459), Orientation(0.06733302, 0.01025613, -0.003539454, 0.9976715), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 617,current eyeGaze_left: Position (-0.002180323, 1.078674, -0.05367459), Orientation(0.06733302, 0.01025613, -0.003539454, 0.9976715), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 630,current eyeGaze_left: Position (-0.002082784, 1.078283, -0.0539491), Orientation(0.01126717, -0.006917511, -0.003684763, 0.9999058), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 644,current eyeGaze_left: Position (-0.002082784, 1.078283, -0.0539491), Orientation(0.01126717, -0.006917511, -0.003684763, 0.9999058), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 658,current eyeGaze_left: Position (-0.001998037, 1.077982, -0.05414592), Orientation(0.01057205, -0.008443473, -0.003119689, 0.9999037), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 672,current eyeGaze_left: Position (-0.001998037, 1.077982, -0.05414592), Orientation(0.01057205, -0.008443473, -0.003119689, 0.9999037), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 687,current eyeGaze_left: Position (-0.002039649, 1.077812, -0.05411192), Orientation(0.01115014, -0.008658445, -0.003146316, 0.9998953), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 699,current eyeGaze_left: Position (-0.002039649, 1.077812, -0.05411192), Orientation(0.01115014, -0.008658445, -0.003146316, 0.9998953), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 714,current eyeGaze_left: Position (-0.002039649, 1.077812, -0.05411192), Orientation(0.01115014, -0.008658445, -0.003146316, 0.9998953), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 728,current eyeGaze_left: Position (-0.002320852, 1.077782, -0.05396446), Orientation(0.01056039, -0.007858368, -0.003581136, 0.999907), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 741,current eyeGaze_left: Position (-0.002320852, 1.077782, -0.05396446), Orientation(0.01056039, -0.007858368, -0.003581136, 0.999907), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 756,current eyeGaze_left: Position (-0.002804613, 1.077971, -0.05385297), Orientation(0.01119325, -0.007018271, -0.004363777, 0.9999031), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 769,current eyeGaze_left: Position (-0.002804613, 1.077971, -0.05385297), Orientation(0.01119325, -0.007018271, -0.004363777, 0.9999031), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 783,current eyeGaze_left: Position (-0.002804613, 1.077971, -0.05385297), Orientation(0.01119325, -0.007018271, -0.004363777, 0.9999031), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 797,current eyeGaze_left: Position (-0.003401361, 1.078178, -0.05342746), Orientation(0.01133649, -0.0103396, -0.00538409, 0.9998679), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 811,current eyeGaze_left: Position (-0.003401361, 1.078178, -0.05342746), Orientation(0.01133649, -0.0103396, -0.00538409, 0.9998679), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 825,current eyeGaze_left: Position (-0.004006661, 1.078292, -0.05297594), Orientation(0.0133672, -0.01200168, -0.003851064, 0.9998313), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 838,current eyeGaze_left: Position (-0.004006661, 1.078292, -0.05297594), Orientation(0.0133672, -0.01200168, -0.003851064, 0.9998313), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 853,current eyeGaze_left: Position (-0.004439838, 1.078309, -0.05257183), Orientation(0.01451609, -0.01298261, -0.002077293, 0.9998082), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 866,current eyeGaze_left: Position (-0.004439838, 1.078309, -0.05257183), Orientation(0.01451609, -0.01298261, -0.002077293, 0.9998082), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 882,current eyeGaze_left: Position (-0.004439838, 1.078309, -0.05257183), Orientation(0.01451609, -0.01298261, -0.002077293, 0.9998082), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 894,current eyeGaze_left: Position (-0.00469856, 1.078269, -0.05212632), Orientation(0.0120923, -0.01241891, -0.001045756, 0.9998494), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 908,current eyeGaze_left: Position (-0.00469856, 1.078269, -0.05212632), Orientation(0.0120923, -0.01241891, -0.001045756, 0.9998494), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 922,current eyeGaze_left: Position (-0.005074207, 1.078486, -0.05169321), Orientation(0.01227702, -0.012847, -0.001135554, 0.9998416), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 936,current eyeGaze_left: Position (-0.005074207, 1.078486, -0.05169321), Orientation(0.01227702, -0.012847, -0.001135554, 0.9998416), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 951,current eyeGaze_left: Position (-0.00565045, 1.078777, -0.05122783), Orientation(0.01208597, -0.01175714, -0.0006542943, 0.9998576), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 963,current eyeGaze_left: Position (-0.00565045, 1.078777, -0.05122783), Orientation(0.01208597, -0.01175714, -0.0006542943, 0.9998576), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 979,current eyeGaze_left: Position (-0.00565045, 1.078777, -0.05122783), Orientation(0.01208597, -0.01175714, -0.0006542943, 0.9998576), Confidence: 0.5

Timestamp: 11/2/2024 5:25:18 PM, Millisecond: 992,current eyeGaze_left: Position (-0.006208472, 1.078995, -0.05051113), Orientation(0.01199342, -0.01103731, 0.0002394917, 0.9998672), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 5,current eyeGaze_left: Position (-0.006208472, 1.078995, -0.05051113), Orientation(0.01199342, -0.01103731, 0.0002394917, 0.9998672), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 20,current eyeGaze_left: Position (-0.006641179, 1.079258, -0.04982492), Orientation(0.01293386, -0.01179559, 0.00122803, 0.9998462), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 33,current eyeGaze_left: Position (-0.006641179, 1.079258, -0.04982492), Orientation(0.01293386, -0.01179559, 0.00122803, 0.9998462), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 48,current eyeGaze_left: Position (-0.006641179, 1.079258, -0.04982492), Orientation(0.01293386, -0.01179559, 0.00122803, 0.9998462), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 61,current eyeGaze_left: Position (-0.007018033, 1.079549, -0.04919687), Orientation(0.01463154, -0.0105918, 0.002648283, 0.9998333), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 75,current eyeGaze_left: Position (-0.007018033, 1.079549, -0.04919687), Orientation(0.01463154, -0.0105918, 0.002648283, 0.9998333), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 90,current eyeGaze_left: Position (-0.007303216, 1.079796, -0.04863235), Orientation(0.01218726, -0.01159221, 0.003416247, 0.9998528), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 102,current eyeGaze_left: Position (-0.007303216, 1.079796, -0.04863235), Orientation(0.01218726, -0.01159221, 0.003416247, 0.9998528), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 117,current eyeGaze_left: Position (-0.007505395, 1.080112, -0.04821461), Orientation(0.0131319, -0.0116561, 0.003017886, 0.9998413), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 130,current eyeGaze_left: Position (-0.007505395, 1.080112, -0.04821461), Orientation(0.0131319, -0.0116561, 0.003017886, 0.9998413), Confidence: 0.5

Timestamp: 11/2/2024 5:25:19 PM, Millisecond: 146,current eyeGaze_left: Position (-0.007505395, 1.080112, -0.04821461), Orientation(0.0131319, -0.0116561, 0.003017886, 0.9998413), Confidence: 0.5

