
Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 880,current eyeGaze_left: Position (0.02450258, 1.150396, 0.2117101), Orientation(0.09985811, -0.002808308, -0.02827062, 0.9945959), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 895,current eyeGaze_left: Position (0.02444063, 1.150404, 0.2117631), Orientation(0.1015837, -0.001991974, -0.02833448, 0.9944215), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 908,current eyeGaze_left: Position (0.02444063, 1.150404, 0.2117631), Orientation(0.1015837, -0.001991974, -0.02833448, 0.9944215), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 923,current eyeGaze_left: Position (0.02448301, 1.150419, 0.2117795), Orientation(0.09986556, -0.0009189684, -0.02808366, 0.994604), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 937,current eyeGaze_left: Position (0.02448301, 1.150419, 0.2117795), Orientation(0.09986556, -0.0009189684, -0.02808366, 0.994604), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 952,current eyeGaze_left: Position (0.02448301, 1.150419, 0.2117795), Orientation(0.09986556, -0.0009189684, -0.02808366, 0.994604), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 964,current eyeGaze_left: Position (0.02454956, 1.150412, 0.2117901), Orientation(0.1015835, -0.001126985, -0.02821656, 0.9944262), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 979,current eyeGaze_left: Position (0.02454956, 1.150412, 0.2117901), Orientation(0.1015835, -0.001126985, -0.02821656, 0.9944262), Confidence: 0.5

Timestamp: 10/27/2024 10:59:21 AM, Millisecond: 992,current eyeGaze_left: Position (0.02456583, 1.150399, 0.2117984), Orientation(0.1071856, -0.001081118, -0.02851123, 0.9938296), Confidence: 0.5

