Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 799,current eyeGaze_left: Position (-0.05903054, 0.6154353, 0.176327), Orientation(0.05886893, -0.01392444, 0.0165571, 0.9980313), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 814,current eyeGaze_left: Position (-0.05903054, 0.6154353, 0.176327), Orientation(0.05886893, -0.01392444, 0.0165571, 0.9980313), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 827,current eyeGaze_left: Position (-0.05906766, 0.615467, 0.1764144), Orientation(0.05925192, -0.01458686, 0.01640503, 0.9980015), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 841,current eyeGaze_left: Position (-0.05906766, 0.615467, 0.1764144), Orientation(0.05925192, -0.01458686, 0.01640503, 0.9980015), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 856,current eyeGaze_left: Position (-0.05909582, 0.6154593, 0.1764965), Orientation(0.05875896, -0.01373144, 0.01658305, 0.99804), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 868,current eyeGaze_left: Position (-0.05909582, 0.6154593, 0.1764965), Orientation(0.05875896, -0.01373144, 0.01658305, 0.99804), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 883,current eyeGaze_left: Position (-0.05909582, 0.6154593, 0.1764965), Orientation(0.05875896, -0.01373144, 0.01658305, 0.99804), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 896,current eyeGaze_left: Position (-0.05900905, 0.6154112, 0.1765462), Orientation(0.05883292, -0.01308097, 0.01674465, 0.9980416), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 910,current eyeGaze_left: Position (-0.05900905, 0.6154112, 0.1765462), Orientation(0.05883292, -0.01308097, 0.01674465, 0.9980416), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 925,current eyeGaze_left: Position (-0.05899286, 0.6153916, 0.1766071), Orientation(0.05848895, -0.01310186, 0.01677114, 0.9980612), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 938,current eyeGaze_left: Position (-0.05899286, 0.6153916, 0.1766071), Orientation(0.05848895, -0.01310186, 0.01677114, 0.9980612), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 953,current eyeGaze_left: Position (-0.05895305, 0.6154099, 0.1766464), Orientation(0.05800708, -0.01491185, 0.01656059, 0.9980674), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 966,current eyeGaze_left: Position (-0.05895305, 0.6154099, 0.1766464), Orientation(0.05800708, -0.01491185, 0.01656059, 0.9980674), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 981,current eyeGaze_left: Position (-0.05895305, 0.6154099, 0.1766464), Orientation(0.05800708, -0.01491185, 0.01656059, 0.9980674), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:56 AM, Millisecond: 994,current eyeGaze_left: Position (-0.0588435, 0.6154805, 0.1766812), Orientation(0.05871299, -0.01495679, 0.01636283, 0.9980287), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 7,current eyeGaze_left: Position (-0.0588435, 0.6154805, 0.1766812), Orientation(0.05871299, -0.01495679, 0.01636283, 0.9980287), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 22,current eyeGaze_left: Position (-0.05878016, 0.6155416, 0.1766762), Orientation(0.0582934, -0.01452829, 0.0163625, 0.9980596), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 36,current eyeGaze_left: Position (-0.05878016, 0.6155416, 0.1766762), Orientation(0.0582934, -0.01452829, 0.0163625, 0.9980596), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 50,current eyeGaze_left: Position (-0.05878016, 0.6155416, 0.1766762), Orientation(0.0582934, -0.01452829, 0.0163625, 0.9980596), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 63,current eyeGaze_left: Position (-0.05870657, 0.6155968, 0.1766358), Orientation(0.05831879, -0.01242539, 0.01657971, 0.9980831), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 78,current eyeGaze_left: Position (-0.05870657, 0.6155968, 0.1766358), Orientation(0.05831879, -0.01242539, 0.01657971, 0.9980831), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 91,current eyeGaze_left: Position (-0.05861448, 0.6155866, 0.176535), Orientation(0.05825686, -0.01250788, 0.01631978, 0.9980898), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 105,current eyeGaze_left: Position (-0.05861448, 0.6155866, 0.176535), Orientation(0.05825686, -0.01250788, 0.01631978, 0.9980898), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 120,current eyeGaze_left: Position (-0.05852618, 0.6155813, 0.1764544), Orientation(0.06237663, -0.01253031, 0.01591942, 0.997847), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 133,current eyeGaze_left: Position (-0.05852618, 0.6155813, 0.1764544), Orientation(0.06237663, -0.01253031, 0.01591942, 0.997847), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 149,current eyeGaze_left: Position (-0.05852618, 0.6155813, 0.1764544), Orientation(0.06237663, -0.01253031, 0.01591942, 0.997847), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 161,current eyeGaze_left: Position (-0.05844597, 0.615555, 0.1763668), Orientation(0.06449416, -0.01409884, 0.0154237, 0.9976993), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 175,current eyeGaze_left: Position (-0.05844597, 0.615555, 0.1763668), Orientation(0.06449416, -0.01409884, 0.0154237, 0.9976993), Confidence: 0.9980469

