Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 541,current eyeGaze_left: Position (-0.04523892, 1.083019, 0.01245467), Orientation(0.1512883, 0.03331803, -0.0296247, 0.9874837), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 555,current eyeGaze_left: Position (-0.04523892, 1.083019, 0.01245467), Orientation(0.1512883, 0.03331803, -0.0296247, 0.9874837), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 569,current eyeGaze_left: Position (-0.04517657, 1.082973, 0.01348216), Orientation(0.1512255, 0.02921005, -0.02856159, 0.9876548), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 583,current eyeGaze_left: Position (-0.04517657, 1.082973, 0.01348216), Orientation(0.1512255, 0.02921005, -0.02856159, 0.9876548), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 598,current eyeGaze_left: Position (-0.0448599, 1.08303, 0.0145371), Orientation(0.1516235, 0.03018604, -0.02672162, 0.9876159), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 611,current eyeGaze_left: Position (-0.0448599, 1.08303, 0.0145371), Orientation(0.1516235, 0.03018604, -0.02672162, 0.9876159), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 626,current eyeGaze_left: Position (-0.0448599, 1.08303, 0.0145371), Orientation(0.1516235, 0.03018604, -0.02672162, 0.9876159), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 639,current eyeGaze_left: Position (-0.04447609, 1.082771, 0.01572316), Orientation(0.1534994, 0.02875865, -0.02596126, 0.987389), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 652,current eyeGaze_left: Position (-0.04447609, 1.082771, 0.01572316), Orientation(0.1534994, 0.02875865, -0.02596126, 0.987389), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 667,current eyeGaze_left: Position (-0.04400875, 1.08248, 0.01688626), Orientation(0.153976, 0.02730545, -0.02604914, 0.9873537), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 680,current eyeGaze_left: Position (-0.04400875, 1.08248, 0.01688626), Orientation(0.153976, 0.02730545, -0.02604914, 0.9873537), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 694,current eyeGaze_left: Position (-0.04400875, 1.08248, 0.01688626), Orientation(0.153976, 0.02730545, -0.02604914, 0.9873537), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 709,current eyeGaze_left: Position (-0.04345525, 1.082459, 0.01784487), Orientation(0.155631, 0.02535373, -0.02640763, 0.9871367), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 724,current eyeGaze_left: Position (-0.04345525, 1.082459, 0.01784487), Orientation(0.155631, 0.02535373, -0.02640763, 0.9871367), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 737,current eyeGaze_left: Position (-0.04290554, 1.082536, 0.01855199), Orientation(0.1584518, 0.02659735, -0.02586003, 0.9866695), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 750,current eyeGaze_left: Position (-0.04290554, 1.082536, 0.01855199), Orientation(0.1584518, 0.02659735, -0.02586003, 0.9866695), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 765,current eyeGaze_left: Position (-0.04239963, 1.082653, 0.01904906), Orientation(0.1600754, 0.02562968, -0.025148, 0.9864516), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 778,current eyeGaze_left: Position (-0.04239963, 1.082653, 0.01904906), Orientation(0.1600754, 0.02562968, -0.025148, 0.9864516), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 793,current eyeGaze_left: Position (-0.04239963, 1.082653, 0.01904906), Orientation(0.1600754, 0.02562968, -0.025148, 0.9864516), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 806,current eyeGaze_left: Position (-0.04207312, 1.082831, 0.01936899), Orientation(0.1571837, 0.02594304, -0.02421143, 0.9869317), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 820,current eyeGaze_left: Position (-0.04207312, 1.082831, 0.01936899), Orientation(0.1571837, 0.02594304, -0.02421143, 0.9869317), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 834,current eyeGaze_left: Position (-0.04196357, 1.083052, 0.01957847), Orientation(0.157499, 0.02604744, -0.02272821, 0.9869137), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 848,current eyeGaze_left: Position (-0.04196357, 1.083052, 0.01957847), Orientation(0.157499, 0.02604744, -0.02272821, 0.9869137), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 863,current eyeGaze_left: Position (-0.04196357, 1.083052, 0.01957847), Orientation(0.157499, 0.02604744, -0.02272821, 0.9869137), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 875,current eyeGaze_left: Position (-0.04209283, 1.083402, 0.01972771), Orientation(0.159145, 0.02480421, -0.02106152, 0.9867188), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 890,current eyeGaze_left: Position (-0.04209283, 1.083402, 0.01972771), Orientation(0.159145, 0.02480421, -0.02106152, 0.9867188), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 903,current eyeGaze_left: Position (-0.04253233, 1.083801, 0.01986152), Orientation(0.1571548, 0.02685708, -0.01895981, 0.9870268), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 917,current eyeGaze_left: Position (-0.04253233, 1.083801, 0.01986152), Orientation(0.1571548, 0.02685708, -0.01895981, 0.9870268), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 932,current eyeGaze_left: Position (-0.04319442, 1.08421, 0.01997803), Orientation(0.157959, 0.02632886, -0.01767096, 0.9869365), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 945,current eyeGaze_left: Position (-0.04319442, 1.08421, 0.01997803), Orientation(0.157959, 0.02632886, -0.01767096, 0.9869365), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 960,current eyeGaze_left: Position (-0.04319442, 1.08421, 0.01997803), Orientation(0.157959, 0.02632886, -0.01767096, 0.9869365), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 973,current eyeGaze_left: Position (-0.04397564, 1.084479, 0.02007056), Orientation(0.1543937, 0.0288922, -0.0165014, 0.9874492), Confidence: 0.5

Timestamp: 11/24/2024 7:38:23 PM, Millisecond: 987,current eyeGaze_left: Position (-0.04397564, 1.084479, 0.02007056), Orientation(0.1543937, 0.0288922, -0.0165014, 0.9874492), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 0,current eyeGaze_left: Position (-0.04481103, 1.084462, 0.02010635), Orientation(0.153237, 0.0303581, -0.01574754, 0.9875975), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 14,current eyeGaze_left: Position (-0.04481103, 1.084462, 0.02010635), Orientation(0.153237, 0.0303581, -0.01574754, 0.9875975), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 29,current eyeGaze_left: Position (-0.04546949, 1.08415, 0.02007959), Orientation(0.1521473, 0.02481745, -0.01613118, 0.9879146), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 43,current eyeGaze_left: Position (-0.04546949, 1.08415, 0.02007959), Orientation(0.1521473, 0.02481745, -0.01613118, 0.9879146), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 58,current eyeGaze_left: Position (-0.04546949, 1.08415, 0.02007959), Orientation(0.1521473, 0.02481745, -0.01613118, 0.9879146), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 70,current eyeGaze_left: Position (-0.04582347, 1.083796, 0.01996834), Orientation(0.152955, 0.02397127, -0.01589085, 0.9878145), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 84,current eyeGaze_left: Position (-0.04582347, 1.083796, 0.01996834), Orientation(0.152955, 0.02397127, -0.01589085, 0.9878145), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 99,current eyeGaze_left: Position (-0.04596267, 1.083571, 0.01980738), Orientation(0.1521146, 0.02403371, -0.01610258, 0.9879394), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 111,current eyeGaze_left: Position (-0.04596267, 1.083571, 0.01980738), Orientation(0.1521146, 0.02403371, -0.01610258, 0.9879394), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 128,current eyeGaze_left: Position (-0.04596267, 1.083571, 0.01980738), Orientation(0.1521146, 0.02403371, -0.01610258, 0.9879394), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 139,current eyeGaze_left: Position (-0.04594188, 1.083352, 0.01964782), Orientation(0.1511068, 0.0244391, -0.01629735, 0.988081), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 154,current eyeGaze_left: Position (-0.04594188, 1.083352, 0.01964782), Orientation(0.1511068, 0.0244391, -0.01629735, 0.988081), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 167,current eyeGaze_left: Position (-0.04587908, 1.083161, 0.01951128), Orientation(0.144438, 0.07857448, -0.008421495, 0.9863532), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 181,current eyeGaze_left: Position (-0.04587908, 1.083161, 0.01951128), Orientation(0.144438, 0.07857448, -0.008421495, 0.9863532), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 196,current eyeGaze_left: Position (-0.04594358, 1.083143, 0.01942611), Orientation(0.1441462, 0.07916144, -0.009004655, 0.9863438), Confidence: 0.5

Timestamp: 11/24/2024 7:38:24 PM, Millisecond: 210,current eyeGaze_left: Position (-0.04594358, 1.083143, 0.01942611), Orientation(0.1441462, 0.07916144, -0.009004655, 0.9863438), Confidence: 0.5

