Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 373,current eyeGaze_left: Position (-0.02650118, 1.12609, 0.04797634), Orientation(0.115112, -0.02322338, -0.02041569, 0.9928711), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 386,current eyeGaze_left: Position (-0.02650118, 1.12609, 0.04797634), Orientation(0.115112, -0.02322338, -0.02041569, 0.9928711), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 400,current eyeGaze_left: Position (-0.02650118, 1.12609, 0.04797634), Orientation(0.115112, -0.02322338, -0.02041569, 0.9928711), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 415,current eyeGaze_left: Position (-0.0272069, 1.126034, 0.04847918), Orientation(0.115216, -0.02447307, -0.0212043, 0.9928126), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 430,current eyeGaze_left: Position (-0.0272069, 1.126034, 0.04847918), Orientation(0.115216, -0.02447307, -0.0212043, 0.9928126), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 443,current eyeGaze_left: Position (-0.02774277, 1.125925, 0.04908181), Orientation(0.1168165, -0.02430379, -0.02159121, 0.9926214), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 456,current eyeGaze_left: Position (-0.02774277, 1.125925, 0.04908181), Orientation(0.1168165, -0.02430379, -0.02159121, 0.9926214), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 470,current eyeGaze_left: Position (-0.02822177, 1.125858, 0.04974552), Orientation(0.1168261, -0.02495836, -0.02187202, 0.9925979), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 485,current eyeGaze_left: Position (-0.02822177, 1.125858, 0.04974552), Orientation(0.1168261, -0.02495836, -0.02187202, 0.9925979), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 499,current eyeGaze_left: Position (-0.02822177, 1.125858, 0.04974552), Orientation(0.1168261, -0.02495836, -0.02187202, 0.9925979), Confidence: 0.5

