Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 429,current eyeGaze_left: Position (-0.0412598, 0.6613712, 0.0299551), Orientation(0.08608727, -0.01492195, -0.02828857, 0.9957741), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 443,current eyeGaze_left: Position (-0.0412598, 0.6613712, 0.0299551), Orientation(0.08608727, -0.01492195, -0.02828857, 0.9957741), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 457,current eyeGaze_left: Position (-0.04155385, 0.6614106, 0.03044567), Orientation(0.08633927, -0.01591876, -0.0285614, 0.9957291), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 470,current eyeGaze_left: Position (-0.04155385, 0.6614106, 0.03044567), Orientation(0.08633927, -0.01591876, -0.0285614, 0.9957291), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 486,current eyeGaze_left: Position (-0.04155385, 0.6614106, 0.03044567), Orientation(0.08633927, -0.01591876, -0.0285614, 0.9957291), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 498,current eyeGaze_left: Position (-0.04184952, 0.6614945, 0.03090519), Orientation(0.08677142, -0.01753265, -0.02876057, 0.9956587), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 513,current eyeGaze_left: Position (-0.04184952, 0.6614945, 0.03090519), Orientation(0.08677142, -0.01753265, -0.02876057, 0.9956587), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 526,current eyeGaze_left: Position (-0.0421974, 0.6616029, 0.03134426), Orientation(0.08644708, -0.01882464, -0.0288149, 0.9956618), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 540,current eyeGaze_left: Position (-0.0421974, 0.6616029, 0.03134426), Orientation(0.08644708, -0.01882464, -0.0288149, 0.9956618), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 556,current eyeGaze_left: Position (-0.0421974, 0.6616029, 0.03134426), Orientation(0.08644708, -0.01882464, -0.0288149, 0.9956618), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 568,current eyeGaze_left: Position (-0.04253059, 0.6617426, 0.03179499), Orientation(0.08719273, -0.01952914, -0.02864383, 0.9955881), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 583,current eyeGaze_left: Position (-0.04253059, 0.6617426, 0.03179499), Orientation(0.08719273, -0.01952914, -0.02864383, 0.9955881), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 596,current eyeGaze_left: Position (-0.04293173, 0.6618079, 0.03228262), Orientation(0.08791676, -0.02054862, -0.02841536, 0.9955104), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 610,current eyeGaze_left: Position (-0.04293173, 0.6618079, 0.03228262), Orientation(0.08791676, -0.02054862, -0.02841536, 0.9955104), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 625,current eyeGaze_left: Position (-0.04344468, 0.6617604, 0.03282784), Orientation(0.08814238, -0.01938538, -0.02791286, 0.995528), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 637,current eyeGaze_left: Position (-0.04344468, 0.6617604, 0.03282784), Orientation(0.08814238, -0.01938538, -0.02791286, 0.995528), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 653,current eyeGaze_left: Position (-0.04344468, 0.6617604, 0.03282784), Orientation(0.08814238, -0.01938538, -0.02791286, 0.995528), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 666,current eyeGaze_left: Position (-0.04408501, 0.6618195, 0.03340684), Orientation(0.08861904, -0.01948087, -0.02762714, 0.9954918), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 681,current eyeGaze_left: Position (-0.04408501, 0.6618195, 0.03340684), Orientation(0.08861904, -0.01948087, -0.02762714, 0.9954918), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 694,current eyeGaze_left: Position (-0.04485427, 0.6618519, 0.03406777), Orientation(0.08515785, -0.01888677, -0.02757412, 0.9958068), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 708,current eyeGaze_left: Position (-0.04485427, 0.6618519, 0.03406777), Orientation(0.08515785, -0.01888677, -0.02757412, 0.9958068), Confidence: 0.9980469

Timestamp: 2/4/2025 1:50:37 AM, Millisecond: 722,current eyeGaze_left: Position (-0.0457087, 0.6618044, 0.03479405), Orientation(0.08492665, -0.0194692, -0.02736679, 0.9958211), Confidence: 0.9980469

