Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 116,current eyeGaze_left: Position (-0.1116647, 1.004004, 0.2128417), Orientation(-0.01482228, -0.03817871, 0.0001900615, 0.999161), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 128,current eyeGaze_left: Position (-0.1116647, 1.004004, 0.2128417), Orientation(-0.01482228, -0.03817871, 0.0001900615, 0.999161), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 142,current eyeGaze_left: Position (-0.1116647, 1.004004, 0.2128417), Orientation(-0.01482228, -0.03817871, 0.0001900615, 0.999161), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 156,current eyeGaze_left: Position (-0.1117316, 1.004048, 0.2126949), Orientation(-0.01477, -0.03889439, 0.0002833214, 0.9991342), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 170,current eyeGaze_left: Position (-0.1117316, 1.004048, 0.2126949), Orientation(-0.01477, -0.03889439, 0.0002833214, 0.9991342), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 184,current eyeGaze_left: Position (-0.1118231, 1.004143, 0.2127425), Orientation(-0.01229559, -0.03811697, 0.0008403524, 0.9991973), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 197,current eyeGaze_left: Position (-0.1118231, 1.004143, 0.2127425), Orientation(-0.01229559, -0.03811697, 0.0008403524, 0.9991973), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 212,current eyeGaze_left: Position (-0.1118926, 1.004395, 0.2128582), Orientation(-0.01034108, -0.0387321, 0.0007965299, 0.9991959), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 225,current eyeGaze_left: Position (-0.1118926, 1.004395, 0.2128582), Orientation(-0.01034108, -0.0387321, 0.0007965299, 0.9991959), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 240,current eyeGaze_left: Position (-0.1118926, 1.004395, 0.2128582), Orientation(-0.01034108, -0.0387321, 0.0007965299, 0.9991959), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 253,current eyeGaze_left: Position (-0.1118953, 1.004703, 0.2131156), Orientation(-0.00880375, -0.03904494, 0.0008654655, 0.9991984), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 267,current eyeGaze_left: Position (-0.1118953, 1.004703, 0.2131156), Orientation(-0.00880375, -0.03904494, 0.0008654655, 0.9991984), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 281,current eyeGaze_left: Position (-0.1117802, 1.005002, 0.2132796), Orientation(0.1003393, -0.04052811, 0.004668552, 0.9941167), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 294,current eyeGaze_left: Position (-0.1117802, 1.005002, 0.2132796), Orientation(0.1003393, -0.04052811, 0.004668552, 0.9941167), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 309,current eyeGaze_left: Position (-0.1117802, 1.005002, 0.2132796), Orientation(0.1003393, -0.04052811, 0.004668552, 0.9941167), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 322,current eyeGaze_left: Position (-0.1116399, 1.005213, 0.2134746), Orientation(0.1150563, -0.04388034, 0.00464812, 0.9923786), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 337,current eyeGaze_left: Position (-0.1116399, 1.005213, 0.2134746), Orientation(0.1150563, -0.04388034, 0.00464812, 0.9923786), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 351,current eyeGaze_left: Position (-0.1114712, 1.005285, 0.2136497), Orientation(0.1161289, -0.04451496, 0.004394986, 0.9922265), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 364,current eyeGaze_left: Position (-0.1114712, 1.005285, 0.2136497), Orientation(0.1161289, -0.04451496, 0.004394986, 0.9922265), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 380,current eyeGaze_left: Position (-0.1112968, 1.005322, 0.2138949), Orientation(0.1163568, -0.04354155, 0.004293855, 0.9922433), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 392,current eyeGaze_left: Position (-0.1112968, 1.005322, 0.2138949), Orientation(0.1163568, -0.04354155, 0.004293855, 0.9922433), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 409,current eyeGaze_left: Position (-0.1112968, 1.005322, 0.2138949), Orientation(0.1163568, -0.04354155, 0.004293855, 0.9922433), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 421,current eyeGaze_left: Position (-0.1110889, 1.005328, 0.2141039), Orientation(0.1152013, -0.04068795, 0.004318578, 0.9924992), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 435,current eyeGaze_left: Position (-0.1110889, 1.005328, 0.2141039), Orientation(0.1152013, -0.04068795, 0.004318578, 0.9924992), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 450,current eyeGaze_left: Position (-0.1108075, 1.005257, 0.2142832), Orientation(0.1156189, -0.04083962, 0.004316425, 0.9924445), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 462,current eyeGaze_left: Position (-0.1108075, 1.005257, 0.2142832), Orientation(0.1156189, -0.04083962, 0.004316425, 0.9924445), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 477,current eyeGaze_left: Position (-0.1108075, 1.005257, 0.2142832), Orientation(0.1156189, -0.04083962, 0.004316425, 0.9924445), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 491,current eyeGaze_left: Position (-0.1105096, 1.00521, 0.2144124), Orientation(0.1154818, -0.04169919, 0.004215117, 0.992425), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 506,current eyeGaze_left: Position (-0.1105096, 1.00521, 0.2144124), Orientation(0.1154818, -0.04169919, 0.004215117, 0.992425), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 518,current eyeGaze_left: Position (-0.1102323, 1.005175, 0.2145075), Orientation(0.1169687, -0.0418487, 0.00409572, 0.9922451), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 532,current eyeGaze_left: Position (-0.1102323, 1.005175, 0.2145075), Orientation(0.1169687, -0.0418487, 0.00409572, 0.9922451), Confidence: 0.5

