Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 60,current eyeGaze_left: Position (-0.03166285, 0.6965536, -0.02754373), Orientation(0.06256243, -0.002736185, -0.01109648, 0.9979756), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 74,current eyeGaze_left: Position (-0.03166285, 0.6965536, -0.02754373), Orientation(0.06256243, -0.002736185, -0.01109648, 0.9979756), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 87,current eyeGaze_left: Position (-0.03166285, 0.6965536, -0.02754373), Orientation(0.06256243, -0.002736185, -0.01109648, 0.9979756), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 101,current eyeGaze_left: Position (-0.03238187, 0.6967987, -0.02714773), Orientation(0.06275192, -0.002429904, -0.01017939, 0.9979743), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 116,current eyeGaze_left: Position (-0.03238187, 0.6967987, -0.02714773), Orientation(0.06275192, -0.002429904, -0.01017939, 0.9979743), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 130,current eyeGaze_left: Position (-0.03299123, 0.6969309, -0.02673581), Orientation(0.06227891, -0.004941509, -0.00932543, 0.9980031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 143,current eyeGaze_left: Position (-0.03299123, 0.6969309, -0.02673581), Orientation(0.06227891, -0.004941509, -0.00932543, 0.9980031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 158,current eyeGaze_left: Position (-0.03299123, 0.6969309, -0.02673581), Orientation(0.06227891, -0.004941509, -0.00932543, 0.9980031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 171,current eyeGaze_left: Position (-0.03341908, 0.6970608, -0.0263643), Orientation(0.06436019, -0.006277821, -0.008405773, 0.9978716), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 185,current eyeGaze_left: Position (-0.03341908, 0.6970608, -0.0263643), Orientation(0.06436019, -0.006277821, -0.008405773, 0.9978716), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 199,current eyeGaze_left: Position (-0.03376951, 0.6971419, -0.02584467), Orientation(0.06615339, -0.007663759, -0.00768043, 0.9977505), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 214,current eyeGaze_left: Position (-0.03376951, 0.6971419, -0.02584467), Orientation(0.06615339, -0.007663759, -0.00768043, 0.9977505), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 227,current eyeGaze_left: Position (-0.03400594, 0.6972532, -0.02525078), Orientation(0.06921086, -0.007110962, -0.006961929, 0.9975525), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 241,current eyeGaze_left: Position (-0.03400594, 0.6972532, -0.02525078), Orientation(0.06921086, -0.007110962, -0.006961929, 0.9975525), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 255,current eyeGaze_left: Position (-0.03400594, 0.6972532, -0.02525078), Orientation(0.06921086, -0.007110962, -0.006961929, 0.9975525), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 269,current eyeGaze_left: Position (-0.03401923, 0.6973637, -0.02471345), Orientation(0.07308225, -0.004099632, -0.006360767, 0.9972973), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 283,current eyeGaze_left: Position (-0.03401923, 0.6973637, -0.02471345), Orientation(0.07308225, -0.004099632, -0.006360767, 0.9972973), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 297,current eyeGaze_left: Position (-0.03406029, 0.697494, -0.02405288), Orientation(0.08269273, 0.004931482, -0.005625776, 0.996547), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 310,current eyeGaze_left: Position (-0.03406029, 0.697494, -0.02405288), Orientation(0.08269273, 0.004931482, -0.005625776, 0.996547), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 325,current eyeGaze_left: Position (-0.03406029, 0.697494, -0.02405288), Orientation(0.08269273, 0.004931482, -0.005625776, 0.996547), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 339,current eyeGaze_left: Position (-0.03405235, 0.6976379, -0.0233411), Orientation(0.08585466, 0.004680624, -0.005999357, 0.9962787), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 353,current eyeGaze_left: Position (-0.03405235, 0.6976379, -0.0233411), Orientation(0.08585466, 0.004680624, -0.005999357, 0.9962787), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 367,current eyeGaze_left: Position (-0.03400294, 0.6977276, -0.02274722), Orientation(0.08581276, 0.005330081, -0.006208341, 0.9962776), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 381,current eyeGaze_left: Position (-0.03400294, 0.6977276, -0.02274722), Orientation(0.08581276, 0.005330081, -0.006208341, 0.9962776), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 395,current eyeGaze_left: Position (-0.03387171, 0.697882, -0.02199894), Orientation(0.08588191, 0.005830457, -0.006464283, 0.9962673), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 409,current eyeGaze_left: Position (-0.03387171, 0.697882, -0.02199894), Orientation(0.08588191, 0.005830457, -0.006464283, 0.9962673), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 423,current eyeGaze_left: Position (-0.03368959, 0.6980217, -0.02118726), Orientation(0.08644246, 0.008071683, -0.006489475, 0.9962031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 437,current eyeGaze_left: Position (-0.03368959, 0.6980217, -0.02118726), Orientation(0.08644246, 0.008071683, -0.006489475, 0.9962031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 451,current eyeGaze_left: Position (-0.03368959, 0.6980217, -0.02118726), Orientation(0.08644246, 0.008071683, -0.006489475, 0.9962031), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 464,current eyeGaze_left: Position (-0.03344328, 0.698207, -0.02040927), Orientation(0.08540235, 0.009463204, -0.007031985, 0.9962767), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 478,current eyeGaze_left: Position (-0.03344328, 0.698207, -0.02040927), Orientation(0.08540235, 0.009463204, -0.007031985, 0.9962767), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 492,current eyeGaze_left: Position (-0.03344248, 0.6987002, -0.019657), Orientation(0.08693394, 0.009260842, -0.007489235, 0.9961429), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 506,current eyeGaze_left: Position (-0.03344248, 0.6987002, -0.019657), Orientation(0.08693394, 0.009260842, -0.007489235, 0.9961429), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 520,current eyeGaze_left: Position (-0.03344248, 0.6987002, -0.019657), Orientation(0.08693394, 0.009260842, -0.007489235, 0.9961429), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 534,current eyeGaze_left: Position (-0.03352603, 0.6993022, -0.01900388), Orientation(0.08911064, 0.01034572, -0.007725322, 0.995938), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 549,current eyeGaze_left: Position (-0.03352603, 0.6993022, -0.01900388), Orientation(0.08911064, 0.01034572, -0.007725322, 0.995938), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 562,current eyeGaze_left: Position (-0.03373016, 0.6999379, -0.01871774), Orientation(0.08846571, 0.01192079, -0.007640967, 0.9959786), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 576,current eyeGaze_left: Position (-0.03373016, 0.6999379, -0.01871774), Orientation(0.08846571, 0.01192079, -0.007640967, 0.9959786), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 590,current eyeGaze_left: Position (-0.03395411, 0.7006608, -0.0182965), Orientation(0.08721606, 0.01080476, -0.007410912, 0.9961034), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 604,current eyeGaze_left: Position (-0.03395411, 0.7006608, -0.0182965), Orientation(0.08721606, 0.01080476, -0.007410912, 0.9961034), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 618,current eyeGaze_left: Position (-0.03395411, 0.7006608, -0.0182965), Orientation(0.08721606, 0.01080476, -0.007410912, 0.9961034), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 631,current eyeGaze_left: Position (-0.0343041, 0.7014897, -0.01802993), Orientation(0.09011925, 0.0107936, -0.007312386, 0.9958457), Confidence: 0.9980469

