
Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 781,current eyeGaze_left: Position (0.07329497, 1.017833, 0.2671175), Orientation(0.09072156, 0.01777631, 0.01516144, 0.9956021), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 795,current eyeGaze_left: Position (0.07319536, 1.017738, 0.267158), Orientation(0.09172026, 0.0181809, 0.01524009, 0.9955022), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 809,current eyeGaze_left: Position (0.07319536, 1.017738, 0.267158), Orientation(0.09172026, 0.0181809, 0.01524009, 0.9955022), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 822,current eyeGaze_left: Position (0.07306758, 1.017681, 0.2671907), Orientation(0.08968066, 0.01790165, 0.01548419, 0.9956893), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 836,current eyeGaze_left: Position (0.07306758, 1.017681, 0.2671907), Orientation(0.08968066, 0.01790165, 0.01548419, 0.9956893), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 851,current eyeGaze_left: Position (0.07306758, 1.017681, 0.2671907), Orientation(0.08968066, 0.01790165, 0.01548419, 0.9956893), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 864,current eyeGaze_left: Position (0.07301731, 1.017718, 0.267222), Orientation(0.09188902, 0.01488172, 0.01509583, 0.9955436), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 878,current eyeGaze_left: Position (0.07301731, 1.017718, 0.267222), Orientation(0.09188902, 0.01488172, 0.01509583, 0.9955436), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 892,current eyeGaze_left: Position (0.07307021, 1.017861, 0.2672563), Orientation(0.09266836, 0.01525006, 0.01515674, 0.9954647), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 905,current eyeGaze_left: Position (0.07307021, 1.017861, 0.2672563), Orientation(0.09266836, 0.01525006, 0.01515674, 0.9954647), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 920,current eyeGaze_left: Position (0.07323992, 1.018087, 0.2672816), Orientation(0.09341823, 0.01448331, 0.01498563, 0.9954088), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 934,current eyeGaze_left: Position (0.07323992, 1.018087, 0.2672816), Orientation(0.09341823, 0.01448331, 0.01498563, 0.9954088), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 948,current eyeGaze_left: Position (0.07323992, 1.018087, 0.2672816), Orientation(0.09341823, 0.01448331, 0.01498563, 0.9954088), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 962,current eyeGaze_left: Position (0.07350673, 1.018249, 0.2673126), Orientation(0.09058639, 0.01366133, 0.01483206, 0.9956844), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 976,current eyeGaze_left: Position (0.07350673, 1.018249, 0.2673126), Orientation(0.09058639, 0.01366133, 0.01483206, 0.9956844), Confidence: 0.5

Timestamp: 11/24/2024 4:48:54 PM, Millisecond: 990,current eyeGaze_left: Position (0.07375532, 1.018331, 0.2673276), Orientation(0.09104629, 0.01300366, 0.01426001, 0.9956596), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 4,current eyeGaze_left: Position (0.07375532, 1.018331, 0.2673276), Orientation(0.09104629, 0.01300366, 0.01426001, 0.9956596), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 18,current eyeGaze_left: Position (0.07395506, 1.018341, 0.2673485), Orientation(0.09214116, 0.01310149, 0.01367481, 0.9955658), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 31,current eyeGaze_left: Position (0.07395506, 1.018341, 0.2673485), Orientation(0.09214116, 0.01310149, 0.01367481, 0.9955658), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 46,current eyeGaze_left: Position (0.07395506, 1.018341, 0.2673485), Orientation(0.09214116, 0.01310149, 0.01367481, 0.9955658), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 59,current eyeGaze_left: Position (0.07410361, 1.018324, 0.2674469), Orientation(0.09240981, 0.0130009, 0.01330982, 0.9955473), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 72,current eyeGaze_left: Position (0.07410361, 1.018324, 0.2674469), Orientation(0.09240981, 0.0130009, 0.01330982, 0.9955473), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 87,current eyeGaze_left: Position (0.07421073, 1.018235, 0.2676201), Orientation(0.09149279, 0.01331409, 0.01354796, 0.9956245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 100,current eyeGaze_left: Position (0.07421073, 1.018235, 0.2676201), Orientation(0.09149279, 0.01331409, 0.01354796, 0.9956245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 114,current eyeGaze_left: Position (0.07421073, 1.018235, 0.2676201), Orientation(0.09149279, 0.01331409, 0.01354796, 0.9956245), Confidence: 0.5

Timestamp: 11/24/2024 4:48:55 PM, Millisecond: 128,current eyeGaze_left: Position (0.0743096, 1.018302, 0.2677625), Orientation(0.09126206, 0.01389848, 0.01357088, 0.9956375), Confidence: 0.5

