Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 100,current eyeGaze_left: Position (0.02584171, 1.118848, 0.209825), Orientation(0.1621867, 0.007996382, -0.03889451, 0.985961), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 115,current eyeGaze_left: Position (0.02584171, 1.118848, 0.209825), Orientation(0.1621867, 0.007996382, -0.03889451, 0.985961), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 128,current eyeGaze_left: Position (0.02574892, 1.118871, 0.2094719), Orientation(0.1610686, 0.008766334, -0.03842629, 0.9861559), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 143,current eyeGaze_left: Position (0.02574892, 1.118871, 0.2094719), Orientation(0.1610686, 0.008766334, -0.03842629, 0.9861559), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 156,current eyeGaze_left: Position (0.0256287, 1.118823, 0.2091158), Orientation(0.1615317, 0.009227802, -0.03799181, 0.9860928), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 169,current eyeGaze_left: Position (0.0256287, 1.118823, 0.2091158), Orientation(0.1615317, 0.009227802, -0.03799181, 0.9860928), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 185,current eyeGaze_left: Position (0.02553087, 1.118672, 0.2086921), Orientation(0.1602664, 0.009656043, -0.03767145, 0.9863073), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 198,current eyeGaze_left: Position (0.02553087, 1.118672, 0.2086921), Orientation(0.1602664, 0.009656043, -0.03767145, 0.9863073), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 212,current eyeGaze_left: Position (0.02553087, 1.118672, 0.2086921), Orientation(0.1602664, 0.009656043, -0.03767145, 0.9863073), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 226,current eyeGaze_left: Position (0.02541636, 1.118488, 0.2083666), Orientation(0.1616755, 0.009458323, -0.03752454, 0.986085), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 240,current eyeGaze_left: Position (0.02541636, 1.118488, 0.2083666), Orientation(0.1616755, 0.009458323, -0.03752454, 0.986085), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 254,current eyeGaze_left: Position (0.02527177, 1.118311, 0.2080556), Orientation(0.1590923, 0.009343626, -0.03710277, 0.9865221), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 267,current eyeGaze_left: Position (0.02527177, 1.118311, 0.2080556), Orientation(0.1590923, 0.009343626, -0.03710277, 0.9865221), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 282,current eyeGaze_left: Position (0.02527177, 1.118311, 0.2080556), Orientation(0.1590923, 0.009343626, -0.03710277, 0.9865221), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 295,current eyeGaze_left: Position (0.0250444, 1.118176, 0.2077363), Orientation(0.1584322, 0.008891889, -0.03674318, 0.9866458), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 309,current eyeGaze_left: Position (0.0250444, 1.118176, 0.2077363), Orientation(0.1584322, 0.008891889, -0.03674318, 0.9866458), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 323,current eyeGaze_left: Position (0.02493458, 1.118042, 0.2075135), Orientation(0.1578823, 0.009388381, -0.0364679, 0.9867396), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 337,current eyeGaze_left: Position (0.02493458, 1.118042, 0.2075135), Orientation(0.1578823, 0.009388381, -0.0364679, 0.9867396), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 352,current eyeGaze_left: Position (0.02488517, 1.117892, 0.2073196), Orientation(0.1605879, 0.01032912, -0.03625264, 0.9863015), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 365,current eyeGaze_left: Position (0.02488517, 1.117892, 0.2073196), Orientation(0.1605879, 0.01032912, -0.03625264, 0.9863015), Confidence: 0.5

Timestamp: 11/2/2024 4:28:16 PM, Millisecond: 381,current eyeGaze_left: Position (0.02488517, 1.117892, 0.2073196), Orientation(0.1605879, 0.01032912, -0.03625264, 0.9863015), Confidence: 0.5

